PLHA,TLHA,PRHA,TRHA,PTHA,PFNA,PLNA,PTSA,PSTA,PFPB,PVSB,PKAC,PACC,PMPC,PHED,PGID,TGID,POID,PSPD,PAGE,PFGE,PBRE,PEYE,PTGH,PCPH,PLSH,PRSH,PCTH,PLTH,PRTH,PAGI,PSKI,PDPI,PPTI,PINJ,PTAK,PPBK,PRBK,PNEK,PFMK,PBTK,PTAL,PHCL,PUCL,PCEL,PLEL,TLEL,PREL,TREL,PCOL,PLPL,PGSL,PTSL,PCYL,PHLM,PSTM,PHAN,PICN,PJEN,PTEN,PCON,PSBO,PVCO,PFHO,PDRO,PTHP,PIMP,PJMP,PYRP,PSXP,PCAR,PTAR,PJER,PMOR,PKPR,PSTR,POVR,PAWR,PLWR,TLWR,PRWR,TRWR,PFAS,PMAS,PSBS,PFCS,PMCS,PFGS,PMGS,PQGS,PCHS,PFHS,PMHS,PVIS,PPOS,POPS,PTPS,PLSS,PTSS,PWSS,PFTS,PMTS,PQTS,PUTS,PVTS,PMUS,PHGT,PWGT,PCMT,PKRT,PYWT,PLHY,PJTY,PSTY,PFEx
6,5,6,5,44,Desmond,Clark,1211,86,0,540,17,84,0,7,399,1,399,80,27,0,0,0,82,1,8,8,82,0,0,78,5,10,1009,76,32,52,55,0,10,62,0,0,0,75,8,8,8,8,249,100,3,3,5,0,55,0,0,88,1,6,540,6,0,6,52,59,85,5,9,62,0,1,90,22,66,84,78,0,0,0,0,30,18,31,54,23,15,21,4,50,24,22,0,4,4,21,74,25,91,1,2,17,23,1211,0,75,95,93,8,1,-31,0,0,72
2,2,2,2,27,Rabih,Abdullah,192,72,0,12,17,89,0,7,495,1,495,89,29,8,0,0,71,1,8,8,72,0,0,82,5,63,1009,36,10,45,42,0,1,63,0,0,0,62,0,0,0,0,103,100,2,2,2,0,30,0,0,27,2,3,12,3,0,15,31,45,67,6,1,64,0,1,98,20,60,69,65,0,0,0,0,0,20,51,45,30,17,31,32,62,23,21,0,1,1,0,66,5,100,1,5,23,12,192,0,72,60,999,59,1,-31,0,0,170
2,2,2,2,21,Thomas,Jones,1000,90,0,360,19,92,2,0,522,1,522,89,25,8,1,1,78,1,10,10,68,0,0,87,6,7,1009,79,23,30,32,0,1,83,0,0,0,75,0,0,0,0,240,100,0,0,4,0,30,0,0,20,2,4,360,4,0,1,36,79,79,4,23,83,0,1,96,29,70,83,77,2,2,2,2,6,36,60,43,32,13,43,0,75,17,22,0,1,1,15,21,5,69,0,9,19,5,1000,1,70,65,256,25,0,-31,0,0,258
3,3,3,3,20,John,Tait,3360,73,0,1200,29,70,0,4,632,1,632,52,29,20,0,0,92,1,10,10,25,0,0,52,0,14,1009,90,26,94,89,0,3,29,0,1,0,87,0,0,0,0,26,100,0,0,6,0,0,0,0,76,1,6,1200,6,0,1,36,84,21,5,39,13,0,1,92,33,89,89,89,2,2,2,2,36,38,23,58,45,23,48,9,39,65,16,0,9,9,39,51,46,79,34,17,58,37,3360,0,78,163,999,0,0,-31,0,0,125
5,6,5,6,20,R.W.,McQuarters,1020,92,0,175,29,91,0,14,955,1,955,92,27,4,0,0,78,1,10,10,69,0,0,89,6,28,15,82,52,24,40,0,7,30,6,0,0,80,0,0,0,0,158,100,0,0,4,0,35,0,0,21,0,5,175,5,0,1,24,75,89,6,29,45,0,1,86,33,45,84,82,0,0,0,0,10,5,75,25,19,11,10,0,72,9,13,0,16,16,77,39,0,52,0,12,8,7,1020,0,70,38,316,85,4,-31,0,0,182
0,0,0,0,19,Brad,Maynard,276,87,0,20,91,40,0,7,1011,1,1011,45,30,2,0,0,35,1,8,8,26,0,0,42,0,35,1009,78,12,28,23,0,5,17,0,4,0,62,0,0,0,0,16,100,3,3,3,0,40,0,0,4,1,4,20,4,0,3,24,44,20,7,27,25,0,1,99,90,31,92,86,0,0,0,0,1,1,90,45,25,17,24,0,37,16,18,0,20,20,100,46,0,0,0,19,19,0,276,0,73,26,368,0,3,-31,0,0,125
0,0,0,0,80,Jonathan,Quinn,130,82,0,0,31,55,0,7,1063,1,1063,56,29,5,0,0,65,1,8,8,37,0,0,51,0,25,1009,78,31,35,27,0,1,39,0,2,0,72,0,0,0,0,119,100,2,2,2,0,45,0,0,12,0,2,0,2,0,3,85,56,47,6,35,41,0,1,95,25,57,71,70,2,2,2,2,0,8,58,5,14,0,15,0,0,0,11,0,0,0,0,18,0,50,0,13,66,0,130,0,78,83,999,0,0,-31,0,0,130
4,4,4,4,24,Aaron,Gibson,55,53,0,0,35,40,0,5,1154,1,1154,41,26,19,0,0,89,1,8,8,18,0,0,35,3,27,1009,45,28,75,92,0,3,28,0,0,0,62,0,6,0,6,258,100,0,0,1,0,1,0,0,78,0,1,0,1,0,1,36,47,27,5,16,27,0,1,99,19,95,72,68,4,4,4,4,36,29,19,62,34,32,38,22,78,52,23,0,9,9,0,100,62,77,33,0,0,40,55,0,78,230,999,0,2,-31,0,0,160
5,6,5,6,25,Michael,Green,65,89,0,0,19,87,0,5,11957,1,11957,87,27,2,0,0,84,1,8,8,45,0,0,88,5,48,1015,87,82,29,49,0,0,33,0,0,0,61,8,8,8,8,154,100,0,0,1,0,40,0,0,43,2,1,0,1,0,7,20,58,84,4,18,32,0,1,92,23,59,79,75,0,0,0,0,0,16,46,13,36,0,38,0,5,0,30,0,18,18,20,29,10,21,0,8,0,27,65,0,72,35,999,12,4,-31,0,0,173
3,3,3,3,18,Alfonso,Boone,410,68,0,50,15,66,0,7,12126,1,12126,57,28,12,0,0,85,1,8,8,17,0,0,55,5,47,1009,84,85,25,24,0,3,32,0,0,0,62,0,0,0,0,130,100,0,0,2,0,15,0,0,70,2,5,50,5,0,7,23,67,43,4,4,21,0,1,94,20,89,81,72,3,3,3,3,59,41,0,24,28,56,23,0,0,21,39,0,12,12,100,40,50,0,66,31,0,15,410,0,76,165,999,0,4,-31,0,0,172
2,2,2,2,26,Anthony,Thomas,231,89,0,60,21,87,2,5,14126,1,14126,85,26,0,2,1,78,1,10,10,65,0,0,81,5,7,1015,83,26,36,37,0,7,88,0,0,0,60,2,2,2,2,117,100,0,0,1,0,0,0,0,35,0,3,60,3,0,2,34,76,72,3,41,83,0,1,75,19,75,82,80,3,3,3,3,0,30,51,45,30,17,31,32,62,23,21,0,1,1,0,66,5,100,5,5,23,12,231,1,74,68,445,20,3,-31,0,0,389
5,5,5,5,25,David,Terrell,525,88,0,170,19,87,0,5,14151,1,14151,87,25,0,0,1,85,0,8,8,78,0,0,87,6,8,1015,87,27,33,35,0,7,60,0,0,0,89,8,8,8,8,117,100,3,3,2,0,40,0,0,83,2,5,170,5,0,1,26,56,92,3,40,68,0,1,52,20,56,75,60,0,0,0,0,0,20,66,0,10,12,25,0,0,0,18,0,3,3,0,25,0,0,0,17,0,0,525,1,75,55,443,40,3,-31,0,0,387
2,2,2,2,19,Mike,Gandy,137,55,0,0,24,82,0,0,14200,1,14200,49,25,16,0,0,75,1,8,8,23,0,0,48,5,6,1015,63,15,81,83,0,3,26,0,0,0,0,0,0,0,0,152,100,3,3,1,0,1,0,0,69,2,1,0,1,0,3,25,51,13,3,15,29,0,1,90,22,88,74,68,3,3,3,3,20,55,97,62,12,51,58,11,43,62,36,0,5,5,19,70,52,45,45,0,0,24,137,0,76,142,999,0,3,-31,0,0,170
4,4,4,4,15,Brock,Williams,30,56,0,0,22,86,0,4,14319,1,14319,85,24,2,0,0,62,1,8,8,57,0,0,85,5,63,1009,81,45,20,29,0,7,31,0,0,0,0,0,0,0,0,152,100,0,0,1,0,55,0,0,22,2,1,0,1,0,15,17,25,75,3,0,50,0,1,100,21,48,62,56,4,4,4,4,0,5,22,9,15,2,26,0,0,1,7,0,16,16,100,32,0,83,0,0,0,20,30,0,70,35,999,71,0,-31,0,0,170
0,0,0,0,25,Todd,McMillon,54,75,0,0,17,86,0,5,14796,1,14796,88,30,4,0,0,80,1,8,8,50,0,0,80,3,63,1009,70,54,15,25,0,7,16,0,0,0,71,0,1,0,1,133,100,3,3,1,0,55,0,0,26,2,1,0,1,0,15,25,41,76,4,28,36,0,1,95,36,56,69,72,3,2,3,2,15,12,100,30,26,13,40,8,50,27,16,0,16,16,86,29,0,18,0,29,2,3,54,0,71,28,999,0,4,-31,0,0,152
3,3,3,3,15,Marc,Colombo,575,70,0,75,11,68,0,0,14853,1,14853,54,25,11,0,0,72,0,8,8,10,0,0,52,0,29,1015,50,21,81,84,0,3,12,11,2,0,0,0,0,0,0,20,100,0,0,4,0,0,0,0,75,2,5,75,5,0,1,10,47,21,2,10,15,0,1,99,17,88,72,64,0,0,0,0,42,42,18,37,45,34,28,0,28,47,7,0,9,9,0,85,34,100,35,50,26,10,575,0,79,160,999,10,2,-31,0,0,125
2,5,2,5,22,Alex,Brown,120,75,0,27,12,87,0,5,14863,1,14863,77,25,9,0,0,78,0,10,10,35,0,0,74,6,6,1015,84,74,13,13,0,12,30,0,0,0,75,0,0,0,0,62,100,3,3,1,3,50,0,0,96,0,3,27,3,0,4,17,79,65,2,6,19,0,1,86,21,70,83,72,2,2,2,2,14,31,0,22,25,7,15,0,77,34,28,0,10,10,94,25,1,57,0,0,62,19,120,0,75,108,538,0,2,-31,1,0,179
0,0,0,0,12,Terrence,Metcalf,121,68,0,30,17,70,0,5,15341,1,15341,53,26,1,0,0,50,0,8,8,14,0,0,50,5,28,1015,84,15,76,81,0,2,15,0,0,0,0,2,2,2,2,159,100,2,2,1,0,30,0,0,60,2,3,30,3,0,3,15,35,21,2,31,18,0,1,98,17,86,69,56,2,2,2,2,36,38,23,58,45,23,48,9,39,65,16,0,8,8,39,51,46,79,34,17,58,37,121,0,75,165,999,10,2,-31,0,0,170
6,6,6,6,19,Adrian,Peterson,96,79,0,6,18,84,0,14,15405,1,15405,85,25,1,0,0,80,0,8,8,59,0,0,84,4,27,1015,83,33,23,22,0,8,80,0,0,0,59,8,8,8,8,68,100,0,0,1,0,20,0,0,29,2,3,6,3,0,6,13,48,69,2,34,70,0,1,88,19,67,70,55,2,2,2,2,8,32,70,31,25,15,24,0,76,18,21,0,1,1,32,32,5,58,0,20,0,22,96,0,70,48,536,63,2,-31,0,0,161
0,4,0,4,18,Ahmed,Merritt,38,78,0,0,14,87,0,5,15407,1,15407,87,27,3,0,0,67,0,8,8,73,0,0,84,4,63,1009,70,32,29,24,0,0,44,0,0,0,57,0,6,0,6,258,100,2,2,1,0,55,0,0,81,2,1,0,1,0,15,31,38,78,3,30,60,0,1,96,20,43,67,60,0,4,0,4,0,5,86,32,34,11,31,0,0,9,10,1,3,3,100,15,0,16,0,23,0,0,38,0,70,33,999,74,3,-31,0,0,161
2,2,2,2,21,Bobby,Gray,110,80,0,12,23,88,0,0,15677,1,15677,81,26,5,0,0,92,0,10,10,54,0,0,80,5,5,1015,85,84,16,54,0,7,32,0,0,0,82,0,0,0,0,101,100,0,4,1,0,15,0,0,25,2,3,12,3,0,5,23,50,76,2,17,36,0,1,94,23,65,75,65,3,0,3,0,0,16,46,13,36,0,38,0,5,0,30,0,18,18,20,29,10,21,0,8,0,27,110,0,72,45,999,15,2,-31,0,0,170
6,6,6,6,22,Bryan,Knight,110,83,0,12,35,77,0,5,15678,1,15678,75,25,10,0,0,60,0,8,8,50,0,0,74,4,30,1015,84,77,32,47,0,13,29,0,0,0,86,0,0,0,0,166,100,0,0,1,3,35,0,0,90,2,3,12,3,0,5,20,48,51,2,24,27,0,1,92,36,70,70,64,3,3,3,3,0,20,62,24,50,12,16,0,100,27,9,0,13,13,0,27,25,1,0,20,16,25,110,0,74,80,999,0,2,-31,0,0,161
7,7,7,7,37,Bryan,Johnson,412,75,0,48,28,70,0,4,16136,1,16136,65,26,8,0,0,74,1,8,8,66,0,0,66,0,63,26,75,28,60,67,0,8,65,0,4,0,69,0,0,0,0,19,100,0,0,4,0,40,0,0,47,2,4,48,4,0,15,15,74,56,4,22,68,0,1,95,34,70,85,75,0,0,0,0,9,10,35,29,39,38,29,0,71,31,27,0,2,2,0,0,55,100,5,44,0,0,412,0,73,85,999,0,0,-31,0,0,129
0,0,0,0,86,Rex,Grossman,700,90,0,170,18,55,0,7,16533,1,16533,54,23,2,0,0,81,0,10,10,15,0,0,56,0,22,1015,85,21,15,16,0,0,43,0,2,0,60,0,0,0,0,62,100,3,3,4,0,50,0,0,8,0,5,170,5,0,1,90,76,55,1,19,47,0,1,92,29,50,79,75,0,0,0,0,0,8,58,5,14,0,15,0,0,0,11,0,0,0,0,18,0,50,0,13,66,0,700,0,73,57,613,0,1,-31,0,0,213
2,2,2,2,19,Michael,Haynes,950,75,0,100,19,75,0,7,16554,1,16554,68,23,12,0,0,75,0,8,8,24,0,0,66,5,14,1015,84,79,29,27,0,12,21,0,0,0,0,0,0,0,0,164,100,3,3,4,3,35,0,0,97,1,5,100,5,0,1,26,72,53,1,20,21,0,1,86,20,82,80,70,3,2,3,2,39,16,7,41,49,10,60,0,56,37,25,0,11,11,20,100,35,62,22,0,0,22,950,0,75,121,999,0,1,-31,0,0,170
2,2,2,2,21,Charles,Tillman,350,92,0,52,16,94,0,14,16588,1,16588,90,23,6,0,0,78,0,8,8,67,0,0,90,6,3,1015,90,65,23,34,0,1,21,0,0,0,75,8,8,8,8,228,100,0,0,3,0,35,0,0,33,0,4,52,4,0,2,14,75,92,1,42,48,0,1,99,14,61,84,75,0,0,0,0,0,20,56,0,19,0,33,0,60,0,22,0,16,16,100,0,0,25,0,24,0,11,350,0,73,47,999,45,1,-31,0,0,392
5,2,5,2,20,Lance,Briggs,180,70,0,48,25,77,0,7,16589,1,16589,75,23,5,0,0,89,0,8,8,52,0,0,72,5,4,1015,77,85,13,41,0,3,35,0,0,0,69,8,2,8,2,8,100,0,0,3,0,35,0,0,55,0,4,48,4,0,3,33,65,62,1,5,30,0,1,76,21,77,78,69,0,0,0,0,38,12,35,50,37,10,48,50,100,29,22,0,13,13,19,65,28,75,11,48,0,38,180,1,72,82,999,0,1,-31,0,0,171
2,6,2,6,22,Bobby,Wade,106,80,0,27,27,88,0,7,16591,1,16591,85,23,3,0,0,79,0,8,8,72,0,0,83,4,4,1015,76,28,13,22,0,1,41,0,0,0,91,0,0,0,0,8,100,3,3,2,0,45,0,0,84,2,3,27,3,0,5,30,31,76,1,45,62,0,1,89,32,44,64,52,2,2,2,2,0,5,79,0,17,0,28,0,0,0,18,0,3,3,0,0,0,33,0,0,0,0,106,0,70,33,999,80,1,-31,0,0,165
4,4,4,4,33,Hunter,Hillenmeyer,92,71,0,0,36,74,0,7,16682,1,16682,68,23,6,0,0,75,0,8,8,45,0,0,67,0,31,1009,80,78,26,52,0,3,32,0,4,0,57,8,8,8,8,238,100,0,0,2,0,50,0,0,92,2,3,0,3,0,5,23,24,60,1,21,29,0,1,95,33,74,65,64,2,2,2,2,38,12,35,50,37,10,48,50,100,29,22,0,14,14,19,65,78,75,10,48,0,38,92,0,76,78,999,0,1,-31,0,0,125
3,3,3,3,17,Ian,Scott,170,72,0,36,10,70,0,5,16963,1,16963,62,22,13,0,0,83,0,8,8,30,0,0,60,4,19,1015,69,72,17,24,0,3,29,0,0,0,73,8,8,8,8,62,100,0,0,3,0,35,0,0,95,0,4,36,4,0,4,25,28,55,1,37,24,0,1,99,15,81,64,47,0,0,0,0,16,31,40,40,19,32,34,0,0,32,11,0,12,12,18,65,40,55,18,48,17,16,170,0,74,152,999,0,1,-31,0,0,163
2,4,2,4,15,Steve,Edwards,38,72,0,0,11,48,0,5,16993,1,16993,48,25,11,0,0,72,0,8,8,10,0,0,45,5,63,1009,75,21,77,80,0,3,12,0,0,0,0,0,0,0,0,225,100,0,0,1,0,45,0,0,79,2,1,0,1,0,15,10,21,15,2,12,15,0,1,78,17,82,62,55,2,2,2,2,42,42,18,37,45,34,28,0,28,47,7,0,6,6,0,85,34,100,35,50,26,10,38,0,77,190,999,10,2,-31,0,0,171
2,2,2,2,10,Joe,Tafoya,90,67,0,0,15,58,0,7,16994,1,16994,55,31,13,0,0,75,1,8,8,21,0,0,60,7,63,1009,72,73,19,15,0,13,11,0,0,0,80,0,1,0,1,8,100,0,0,1,3,35,0,0,99,2,3,0,3,0,15,10,26,45,4,38,20,0,1,91,12,73,60,63,2,2,2,2,8,40,44,46,18,16,43,0,100,32,17,0,10,10,31,66,22,72,16,11,40,17,90,0,76,118,999,0,4,-31,0,0,195
4,4,4,4,25,Qasim,Mitchell,68,21,0,0,29,59,0,2,17078,1,17078,47,23,18,0,0,73,0,8,8,23,0,0,44,5,63,1009,58,26,77,84,0,3,17,0,0,0,73,0,0,0,0,134,100,0,0,2,0,40,0,0,72,2,2,0,2,0,15,21,47,29,1,32,23,0,1,85,31,93,72,69,0,0,0,0,39,30,10,21,13,52,16,34,0,25,21,0,5,5,0,42,0,0,39,20,0,0,68,0,78,195,999,0,1,-31,0,0,172
0,0,0,0,31,Josh,Warner,53,70,0,0,11,50,0,7,17103,1,17103,53,25,4,0,0,79,0,8,8,16,0,0,42,0,63,1009,78,26,75,76,0,3,17,0,2,0,72,0,0,0,0,265,100,0,0,1,0,55,0,0,67,2,2,0,2,0,15,33,20,23,2,46,27,0,1,80,11,82,64,66,3,0,3,0,44,44,20,74,26,64,47,0,79,62,19,0,7,7,55,100,0,100,62,13,12,32,53,0,77,145,999,0,2,-31,0,0,127
0,0,0,0,15,Joe,Odom,93,75,0,3,21,77,0,4,17110,1,17110,76,24,4,0,0,65,0,8,8,48,0,0,75,0,18,1015,83,72,9,51,0,3,24,0,0,0,61,0,0,0,0,169,100,0,0,2,0,55,0,0,59,2,3,3,3,0,6,16,46,59,1,33,21,0,1,83,22,68,69,66,2,2,2,2,19,21,19,12,41,10,54,0,79,3,27,0,15,15,100,15,70,70,2,46,0,17,93,0,72,81,999,0,1,-31,0,0,125
6,6,6,6,48,Justin,Gage,179,85,0,40,29,89,0,5,17111,1,17111,88,23,6,0,0,78,0,8,8,80,0,0,90,5,8,1015,87,21,28,34,0,11,58,0,0,0,90,0,0,0,0,122,100,0,0,3,3,40,0,0,87,2,4,40,4,0,5,50,64,94,1,14,59,0,1,88,22,65,79,66,0,0,0,0,2,20,72,23,19,8,18,0,55,9,16,0,3,3,54,40,0,38,0,11,12,7,179,1,76,57,999,40,1,-31,0,0,170
6,6,6,6,39,Brock,Forsey,93,76,0,3,9,87,0,7,17112,1,17112,85,24,8,0,1,70,0,10,10,64,0,0,84,0,33,1015,80,14,27,27,0,8,70,0,2,0,81,8,8,8,8,19,100,0,0,2,0,35,0,0,44,2,3,3,3,0,6,40,48,64,1,13,72,0,1,90,27,65,70,65,0,0,0,0,23,10,30,52,26,18,23,0,55,24,7,0,1,1,16,38,5,34,0,34,27,22,93,0,72,43,999,83,1,-31,0,0,125
2,2,2,2,22,Cameron,Worrell,23,77,0,0,23,82,0,4,17174,1,17174,85,24,2,0,0,76,0,8,8,60,0,0,76,0,63,1009,75,64,16,23,0,1,27,0,0,0,80,0,0,0,0,66,100,0,0,1,0,65,0,0,24,0,1,0,1,0,15,15,27,74,1,47,44,0,1,75,24,54,65,55,0,0,0,0,4,15,61,7,41,8,37,0,50,0,26,0,17,17,100,18,1,61,0,27,0,8,23,0,71,45,999,12,1,-31,0,0,125
7,7,7,7,26,Bernard,Berrian,140,88,0,54,11,95,0,0,17323,1,17323,93,23,0,0,1,85,0,8,8,72,0,0,93,5,15,1015,75,20,22,24,0,8,35,0,0,0,85,0,0,0,0,66,100,0,0,3,0,35,0,0,80,2,3,54,3,0,3,24,47,81,0,0,55,0,1,90,21,46,71,56,0,0,0,0,0,1,86,0,10,5,26,0,0,0,22,0,3,3,100,70,0,33,0,7,0,0,140,0,73,23,999,75,0,-31,0,0,176
2,2,2,2,8,RE,#73,210,68,0,55,14,74,0,7,17409,1,17409,70,23,4,0,0,79,0,8,8,19,0,0,69,4,15,1015,72,64,12,14,2,8,20,0,0,0,75,0,0,0,0,166,100,2,2,5,0,45,0,0,73,2,5,55,5,0,5,9,31,59,0,0,15,0,1,89,7,63,62,45,2,2,2,2,10,22,22,31,17,10,28,0,50,11,43,0,11,11,0,23,60,100,5,25,0,21,210,0,75,92,999,0,0,-31,2,0,164
6,6,6,6,16,Tommie,Harris,850,82,0,186,11,90,0,5,17416,1,17416,70,20,17,1,0,92,0,8,8,34,0,0,66,6,14,1015,87,79,32,32,0,3,25,0,0,0,85,8,8,8,8,157,100,0,0,6,0,1,0,0,91,0,6,186,6,0,1,15,70,60,0,0,22,0,1,93,12,85,82,60,3,3,3,3,25,25,0,24,28,56,23,0,0,21,39,0,12,12,100,40,20,0,5,25,0,15,850,0,74,132,654,0,0,-31,0,0,179
0,0,0,0,11,ROLB,#58,120,78,0,30,9,87,0,5,17454,1,17454,83,22,12,0,0,79,0,8,8,45,0,0,80,4,16,1015,87,68,8,43,0,3,41,0,0,0,75,0,0,0,0,111,100,0,0,3,0,1,0,0,58,2,3,30,3,0,4,12,28,72,0,0,45,0,1,85,10,61,61,42,2,2,2,2,0,19,39,9,26,0,40,0,0,6,28,0,15,15,0,28,25,25,0,27,0,11,120,0,72,70,999,0,0,-31,4,0,166
7,5,7,5,13,Nathan,Vasher,177,92,0,40,10,91,0,5,17480,1,17480,88,22,1,0,0,84,0,0,0,74,0,0,93,5,14,1015,86,46,10,24,0,7,36,0,0,0,85,0,1,0,1,214,100,2,2,4,0,30,0,0,31,0,4,40,4,0,4,11,43,88,0,0,44,0,1,94,24,40,70,50,2,2,2,2,1,5,75,25,19,11,10,0,72,9,13,1,16,16,95,39,0,52,0,12,8,7,177,1,70,17,999,78,0,-31,0,0,173
