txid,date,ptid,pfna,plna,tx,is_tx,tsna_fr,tsna_to,tsna_last,tgid_fr,tgid_to,tgid_last,text,full_c_tx,pfna_c_tx,plna_c_tx,pos_tx,pos_group_tx,pos_unit_tx,pgid,full_c,pfna_c,plna_c,pos,pos_group,pos_unit,page,povr,tsna,tgid,score_full,score_pfna,score_plna,match_pg,match_pu,match_fr,match_to,match_la
441,2004-03-23,528.0,DeMingo,Graham,sign,1,FA,DAL,,1009.0,11.0,,The Dallas Cowboys signed G DeMingo Graham.,demingo graham,demingo,graham,G,G,OL,582,demingo graham,demingo,graham,RG,G,OL,31,67,FA,1009,1.0,1.0,1.0,1,1,1,0,0
442,2004-03-23,722.0,Garrick,Jones,resign,1,HOU,HOU,,32.0,32.0,,The Houston Texans re-signed OT Garrick Jones.,garrick jones,garrick,jones,T,T,OL,17244,garrick jones,garrick,jones,LT,T,OL,25,58,FA,1009,1.0,1.0,1.0,1,1,0,0,0
481,2004-03-26,570.0,William,Hampton,resign,1,CAR,CAR,,21.0,21.0,,The Carolina Panthers re-signed S William Hampton.,william hampton,william,hampton,S,S,DB,11995,william hampton,william,hampton,CB,CB,DB,29,62,FA,1009,1.0,1.0,1.0,0,1,0,0,0
552,2004-04-12,1221.0,Jacoby,Shepherd,sign,1,FA,OAK,,1009.0,23.0,,The Oakland Raiders signed DB Jacoby Shepherd.,jacoby shepherd,jacoby,shepherd,DB,,DB,1450,jacoby shepherd,jacoby,shepherd,CB,CB,DB,25,64,FA,1009,1.0,1.0,1.0,0,1,1,0,0
558,2004-04-13,1260.0,Otis,Smith,sign,1,FA,NE,,1009.0,22.0,,The New England Patriots signed CB Otis Smith.,otis smith,otis,smith,CB,CB,DB,1141,otis smith,otis,smith,CB,CB,DB,38,81,FA,1009,1.0,1.0,1.0,1,1,1,0,0
561,2004-04-14,1276.0,Armegis,Spearman,sign,1,FA,GB,WAS,1009.0,20.0,26.0,The Green Bay Packers signed OLB Armegis Spearman.,armegis spearman,armegis,spearman,OLB,LB,LB,16056,armegis spearman,armegis,spearman,MLB,LB,LB,26,74,FA,1009,1.0,1.0,1.0,1,1,1,0,0
583,2004-04-22,1441.0,Chris,Watson,sign,1,FA,GB,,1009.0,20.0,,The Green Bay Packers signed DB Chris Watson.,chris watson,chris,watson,DB,,DB,412,chris watson,chris,watson,CB,CB,DB,27,68,FA,1009,1.0,1.0,1.0,0,1,1,0,0
722,2004-04-30,1451.0,Wes,Welker,sign,1,FA,SD,,1009.0,8.0,,The San Diego Chargers signed WR Wes Welker.,wes welker,wes,welker,WR,WR,WR,5,wes welker,wes,welker,WR,WR,WR,23,72,MIA,12,1.0,1.0,1.0,1,1,0,0,0
778,2004-05-11,561.0,Bob,Hallen,sign,1,FA,NE,,1009.0,22.0,,The New England Patriots signed G Bob Hallen.,bob hallen,bob,hallen,G,G,OL,922,bob hallen,bob,hallen,RG,G,OL,29,81,FA,1009,1.0,1.0,1.0,1,1,1,0,0
785,2004-05-14,229.0,Byron,Chamberlain,sign,1,FA,DEN,WAS,1009.0,4.0,26.0,The Denver Broncos signed TE Byron Chamberlain.,byron chamberlain,byron,chamberlain,TE,TE,TE,370,byron chamberlain,byron,chamberlain,TE,TE,TE,32,73,FA,1009,1.0,1.0,1.0,1,1,1,0,0
792,2004-05-17,1345.0,David,Terrell,sign,1,FA,OAK,,1009.0,23.0,,The Oakland Raiders signed S David Terrell.,david terrell,david,terrell,S,S,DB,14521,david terrell,david,terrell,FS,S,DB,27,72,FA,1009,1.0,1.0,1.0,1,1,1,0,0
802,2004-05-20,218.0,Ki-Jana,Carter,sign,1,FA,NO,,1009.0,27.0,,The New Orleans Saints signed RB Ki-Jana Carter.,kijana carter,kijana,carter,HB,HB,RB,14,kijana carter,kijana,carter,HB,HB,RB,30,73,FA,1009,1.0,1.0,1.0,1,1,1,0,0
803,2004-05-20,352.0,JaJuan,Dawson,sign,1,FA,NYG,,1009.0,16.0,,The New York Giants signed WR JaJuan Dawson.,jajuan dawson,jajuan,dawson,WR,WR,WR,449,jajuan dawson,jajuan,dawson,WR,WR,WR,29,65,FA,1009,1.0,1.0,1.0,1,1,1,0,0
804,2004-05-20,373.0,Jason,Doering,sign,1,FA,NYG,,1009.0,16.0,,The New York Giants signed S Jason Doering.,jason doering,jason,doering,S,S,DB,14350,jason doering,jason,doering,FS,S,DB,26,68,FA,1009,1.0,1.0,1.0,1,1,1,0,0
811,2004-05-20,1287.0,Charles,Stackhouse,sign,1,FA,HOU,MIN,1009.0,32.0,31.0,The Houston Texans signed FB Charles Stackhouse.,charles stackhouse,charles,stackhouse,FB,FB,RB,14918,charles stackhouse,charles,stackhouse,FB,FB,RB,24,75,FA,1009,1.0,1.0,1.0,1,1,1,0,0
812,2004-05-20,1297.0,Glen,Steele,sign,1,FA,NYG,,1009.0,16.0,,The New York Giants signed DT Glen Steele.,glen steele,glen,steele,DT,DT,DL,303,glen steele,glen,steele,DT,DT,DL,29,67,FA,1009,1.0,1.0,1.0,1,1,1,0,0
814,2004-05-21,899.0,Quentin,McCord,sign,1,FA,OAK,DET,1009.0,23.0,19.0,The Oakland Raiders signed WR Quentin McCord.,quentin mccord,quentin,mccord,WR,WR,WR,15422,quentin mccord,quentin,mccord,WR,WR,WR,26,68,FA,1009,1.0,1.0,1.0,1,1,1,0,0
823,2004-05-25,1496.0,Rodney,Williams,sign,1,FA,KC,,1009.0,9.0,,The Kansas City Chiefs signed P Rodney Williams.,rodney williams,rodney,williams,P,P,KP,16133,rodney williams,rodney,williams,P,P,KP,27,77,FA,1009,1.0,1.0,1.0,1,1,1,0,0
829,2004-05-27,1504.0,Willie,Williams,sign,1,FA,PIT,,1009.0,29.0,,The Pittsburgh Steelers signed CB Willie Williams.,willie williams,willie,williams,CB,CB,DB,1624,willie williams,willie,williams,CB,CB,DB,33,74,FA,1009,1.0,1.0,1.0,1,1,1,0,0
843,2004-06-02,86.0,Fred,Baxter,sign,1,FA,WAS,,1009.0,26.0,,The Washington Redskins signed TE Fred Baxter.,fred baxter,fred,baxter,TE,TE,TE,1122,fred baxter,fred,baxter,TE,TE,TE,33,61,FA,1009,1.0,1.0,1.0,1,1,1,0,0
851,2004-06-02,488.0,Daryl,Gardener,release,1,DEN,FA,,4.0,1009.0,,The Denver Broncos released DT Daryl Gardener.,daryl gardener,daryl,gardener,DT,DT,DL,824,daryl gardener,daryl,gardener,DT,DT,DL,31,88,CIN,2,1.0,1.0,1.0,1,1,0,0,0
866,2004-06-04,797.0,Bill,Lafleur,sign,1,FA,SD,,1009.0,8.0,,The San Diego Chargers signed P Bill Lafleur.,bill lafleur,bill,lafleur,P,P,KP,15772,bill lafleur,bill,lafleur,P,P,KP,28,73,FA,1009,1.0,1.0,1.0,1,1,1,0,0
867,2004-06-04,852.0,Justin,Lucas,sign,1,FA,STL,ARI,1009.0,24.0,7.0,The St. Louis Rams signed S Justin Lucas.,justin lucas,justin,lucas,S,S,DB,12034,justin lucas,justin,lucas,SS,S,DB,27,66,FA,1009,1.0,1.0,1.0,1,1,1,0,0
877,2004-06-08,319.0,Clifton,Crosby,sign,1,FA,KC,,1009.0,9.0,,The Kansas City Chiefs signed DB Clifton Crosby.,clifton crosby,clifton,crosby,DB,,DB,16113,clifton crosby,clifton,crosby,CB,CB,DB,29,71,FA,1009,1.0,1.0,1.0,0,1,1,0,0
881,2004-06-08,986.0,Keith,Newman,sign,1,FA,MIN,ATL,1009.0,31.0,14.0,The Minnesota Vikings signed LB Keith Newman.,keith newman,keith,newman,LB,LB,LB,359,keith newman,keith,newman,ROLB,LB,LB,27,80,FA,1009,1.0,1.0,1.0,1,1,1,0,0
886,2004-06-09,195.0,Steve,Bush,sign,1,FA,GB,ARI,1009.0,20.0,7.0,The Green Bay Packers signed TE/L Steve Bush.,steve bush,steve,bush,TE,TE,TE,14799,steve bush,steve,bush,TE,TE,TE,29,62,FA,1009,1.0,1.0,1.0,1,1,1,0,0
887,2004-06-09,283.0,Calvin,Collins,release,1,DEN,FA,,4.0,1009.0,,The Denver Broncos released G Calvin Collins.,calvin collins,calvin,collins,G,G,OL,892,calvin collins,calvin,collins,C,C,OL,30,67,DEN,4,1.0,1.0,1.0,0,1,1,0,0
896,2004-06-10,506.0,David,Gibson,sign,1,FA,CLE,,1009.0,5.0,,The Cleveland Browns signed S David Gibson.,david gibson,david,gibson,S,S,DB,12024,david gibson,david,gibson,FS,S,DB,26,67,FA,1009,1.0,1.0,1.0,1,1,1,0,0
899,2004-06-11,93.0,Marcus,Bell,sign,1,FA,DET,ARI,1009.0,19.0,7.0,The Detroit Lions signed DT Marcus Bell.,marcus bell,marcus,bell,DT,DT,DL,14270,marcus bell,marcus,bell,DT,DT,DL,25,69,FA,1009,1.0,1.0,1.0,1,1,1,0,0
903,2004-06-11,1140.0,Jeff,Roehl,sign,1,FA,SEA,NYG,1009.0,28.0,16.0,The Seattle Seahawks signed T Jeff Roehl.,jeff roehl,jeff,roehl,T,T,OL,17137,jeff roehl,jeff,roehl,RG,G,OL,24,61,FA,1009,1.0,1.0,1.0,0,1,1,0,0
906,2004-06-11,1426.0,Dedric,Ward,sign,1,FA,DAL,,1009.0,11.0,,The Dallas Cowboys signed WR/K Dedric Ward.,dedric ward,dedric,ward,WR,WR,WR,1097,dedric ward,dedric,ward,WR,WR,WR,29,63,FA,1009,1.0,1.0,1.0,1,1,1,0,0
910,2004-06-14,389.0,LaTarence,Dunbar,sign,1,FA,CLE,ATL,1009.0,5.0,14.0,The Cleveland Browns signed WR LaTarence Dunbar.,latarence dunbar,latarence,dunbar,WR,WR,WR,16662,latarence dunbar,latarence,dunbar,WR,WR,WR,23,68,FA,1009,1.0,1.0,1.0,1,1,1,0,0
918,2004-06-15,1095.0,Derrick,Ransom,sign,1,FA,JAX,,1009.0,17.0,,The Jacksonville Jaguars signed DT Derrick Ransom.,derrick ransom,derrick,ransom,DT,DT,DL,12060,derrick ransom,derrick,ransom,DT,DT,DL,27,64,FA,1009,1.0,1.0,1.0,1,1,1,0,0
923,2004-06-16,1093.0,Greg,Randall,release,1,SF,FA,SF,15.0,1009.0,15.0,The San Francisco 49ers released T Greg Randall.,greg randall,greg,randall,T,T,OL,12154,greg randall,greg,randall,RT,T,OL,26,78,SF,15,1.0,1.0,1.0,1,1,1,0,1
929,2004-06-17,586.0,James,Harrison,waive,1,BAL,FA,,25.0,1009.0,,The Baltimore Ravens waived OLB James Harrison.,james harrison,james,harrison,OLB,LB,LB,3,james harrison,james,harrison,ROLB,LB,LB,26,80,PIT,29,1.0,1.0,1.0,1,1,0,0,0
935,2004-06-18,636.0,Bernard,Holsey,sign,1,FA,STL,,1009.0,24.0,,The St. Louis Rams signed DL Bernard Holsey.,bernard holsey,bernard,holsey,DL,,DL,716,bernard holsey,bernard,holsey,DT,DT,DL,30,63,FA,1009,1.0,1.0,1.0,0,1,1,0,0
950,2004-06-22,1327.0,Alex,Sulfsted,sign,1,FA,CIN,CIN,1009.0,2.0,2.0,The Cincinnati Bengals signed G Alex Sulfsted.,alex sulfsted,alex,sulfsted,G,G,OL,14225,alex sulfsted,alex,sulfsted,LG,G,OL,25,51,FA,1009,1.0,1.0,1.0,1,1,1,0,0
954,2004-06-23,994.0,Mathias,Nkwenti,sign,1,FA,NYG,,1009.0,16.0,,The New York Giants signed T Mathias Nkwenti.,mathias nkwenti,mathias,nkwenti,T,T,OL,14215,mathias nkwenti,mathias,nkwenti,LT,T,OL,26,65,FA,1009,1.0,1.0,1.0,1,1,1,0,0
966,2004-06-28,753.0,Eric,Kelly,sign,1,FA,HOU,MIN,1009.0,32.0,31.0,The Houston Texans signed CB Eric Kelly.,eric kelly,eric,kelly,CB,CB,DB,14312,eric kelly,eric,kelly,CB,CB,DB,27,66,MIN,31,1.0,1.0,1.0,1,1,0,0,1
967,2004-06-28,1423.0,Shane,Walton,sign,1,FA,PIT,STL,1009.0,29.0,24.0,The Pittsburgh Steelers signed S Shane Walton.,shane walton,shane,walton,S,S,DB,16985,shane walton,shane,walton,FS,S,DB,24,64,STL,24,1.0,1.0,1.0,1,1,0,0,1
969,2004-06-29,847.0,Josh,Lovelady,resign,1,DET,DET,,19.0,19.0,,The Detroit Lions re-signed G Josh Lovelady.,josh lovelady,josh,lovelady,G,G,OL,17196,josh lovelady,josh,lovelady,RG,G,OL,26,62,FA,1009,1.0,1.0,1.0,1,1,0,0,0
971,2004-06-30,142.0,Sean,Brewer,waive,1,ATL,FA,,14.0,1009.0,,The Atlanta Falcons waived TE Sean Brewer.,sean brewer,sean,brewer,TE,TE,TE,14185,sean brewer,sean,brewer,TE,TE,TE,26,63,ATL,14,1.0,1.0,1.0,1,1,1,0,0
977,2004-07-01,1277.0,Marcus,Spears,sign,1,FA,HOU,KC,1009.0,32.0,9.0,The Houston Texans signed OT/G Marcus Spears.,marcus spears,marcus,spears,T,T,OL,661,marcus spears,marcus,spears,RT,T,OL,32,74,KC,9,1.0,1.0,1.0,1,1,0,0,1
