txid,date,ptid,pfna,plna,tx,is_tx,tsna_fr,tsna_to,tsna_last,tgid_fr,tgid_to,tgid_last,text,full_c_tx,pfna_c_tx,plna_c_tx,pos_tx,pos_group_tx,pos_unit_tx,pgid,full_c,pfna_c,plna_c,pos,pos_group,pos_unit,page,povr,tsna,tgid,score_full,score_pfna,score_plna,match_pg,match_pu,match_fr,match_to,match_la
722,2004-04-30,1451.0,Wes,Welker,sign,1,FA,SD,,1009.0,8.0,,The San Diego Chargers signed WR Wes Welker.,wes welker,wes,welker,WR,WR,WR,5,wes welker,wes,welker,WR,WR,WR,23,72,MIA,12,1.0,1.0,1.0,1,1,0,0,0
778,2004-05-11,561.0,Bob,Hallen,sign,1,FA,NE,,1009.0,22.0,,The New England Patriots signed G Bob Hallen.,bob hallen,bob,hallen,G,G,OL,922,bob hallen,bob,hallen,RG,G,OL,29,81,FA,1009,1.0,1.0,1.0,1,1,1,0,0
785,2004-05-14,229.0,Byron,Chamberlain,sign,1,FA,DEN,WAS,1009.0,4.0,26.0,The Denver Broncos signed TE Byron Chamberlain.,byron chamberlain,byron,chamberlain,TE,TE,TE,370,byron chamberlain,byron,chamberlain,TE,TE,TE,32,73,FA,1009,1.0,1.0,1.0,1,1,1,0,0
792,2004-05-17,1345.0,David,Terrell,sign,1,FA,OAK,,1009.0,23.0,,The Oakland Raiders signed S David Terrell.,david terrell,david,terrell,S,S,DB,14521,david terrell,david,terrell,FS,S,DB,27,72,FA,1009,1.0,1.0,1.0,1,1,1,0,0
802,2004-05-20,218.0,Ki-Jana,Carter,sign,1,FA,NO,,1009.0,27.0,,The New Orleans Saints signed RB Ki-Jana Carter.,kijana carter,kijana,carter,HB,HB,RB,14,kijana carter,kijana,carter,HB,HB,RB,30,73,FA,1009,1.0,1.0,1.0,1,1,1,0,0
804,2004-05-20,373.0,Jason,Doering,sign,1,FA,NYG,,1009.0,16.0,,The New York Giants signed S Jason Doering.,jason doering,jason,doering,S,S,DB,14350,jason doering,jason,doering,FS,S,DB,26,68,FA,1009,1.0,1.0,1.0,1,1,1,0,0
829,2004-05-27,1504.0,Willie,Williams,sign,1,FA,PIT,,1009.0,29.0,,The Pittsburgh Steelers signed CB Willie Williams.,willie williams,willie,williams,CB,CB,DB,1624,willie williams,willie,williams,CB,CB,DB,33,74,FA,1009,1.0,1.0,1.0,1,1,1,0,0
843,2004-06-02,86.0,Fred,Baxter,sign,1,FA,WAS,,1009.0,26.0,,The Washington Redskins signed TE Fred Baxter.,fred baxter,fred,baxter,TE,TE,TE,1122,fred baxter,fred,baxter,TE,TE,TE,33,61,FA,1009,1.0,1.0,1.0,1,1,1,0,0
851,2004-06-02,488.0,Daryl,Gardener,release,1,DEN,FA,,4.0,1009.0,,The Denver Broncos released DT Daryl Gardener.,daryl gardener,daryl,gardener,DT,DT,DL,824,daryl gardener,daryl,gardener,DT,DT,DL,31,88,CIN,2,1.0,1.0,1.0,1,1,0,0,0
867,2004-06-04,852.0,Justin,Lucas,sign,1,FA,STL,ARI,1009.0,24.0,7.0,The St. Louis Rams signed S Justin Lucas.,justin lucas,justin,lucas,S,S,DB,12034,justin lucas,justin,lucas,SS,S,DB,27,66,FA,1009,1.0,1.0,1.0,1,1,1,0,0
877,2004-06-08,319.0,Clifton,Crosby,sign,1,FA,KC,,1009.0,9.0,,The Kansas City Chiefs signed DB Clifton Crosby.,clifton crosby,clifton,crosby,DB,,DB,16113,clifton crosby,clifton,crosby,CB,CB,DB,29,71,FA,1009,1.0,1.0,1.0,0,1,1,0,0
881,2004-06-08,986.0,Keith,Newman,sign,1,FA,MIN,ATL,1009.0,31.0,14.0,The Minnesota Vikings signed LB Keith Newman.,keith newman,keith,newman,LB,LB,LB,359,keith newman,keith,newman,ROLB,LB,LB,27,80,FA,1009,1.0,1.0,1.0,1,1,1,0,0
886,2004-06-09,195.0,Steve,Bush,sign,1,FA,GB,ARI,1009.0,20.0,7.0,The Green Bay Packers signed TE/L Steve Bush.,steve bush,steve,bush,TE,TE,TE,14799,steve bush,steve,bush,TE,TE,TE,29,62,FA,1009,1.0,1.0,1.0,1,1,1,0,0
887,2004-06-09,283.0,Calvin,Collins,release,1,DEN,FA,,4.0,1009.0,,The Denver Broncos released G Calvin Collins.,calvin collins,calvin,collins,G,G,OL,892,calvin collins,calvin,collins,C,C,OL,30,67,DEN,4,1.0,1.0,1.0,0,1,1,0,0
899,2004-06-11,93.0,Marcus,Bell,sign,1,FA,DET,ARI,1009.0,19.0,7.0,The Detroit Lions signed DT Marcus Bell.,marcus bell,marcus,bell,DT,DT,DL,14270,marcus bell,marcus,bell,DT,DT,DL,25,69,FA,1009,1.0,1.0,1.0,1,1,1,0,0
903,2004-06-11,1140.0,Jeff,Roehl,sign,1,FA,SEA,NYG,1009.0,28.0,16.0,The Seattle Seahawks signed T Jeff Roehl.,jeff roehl,jeff,roehl,T,T,OL,17137,jeff roehl,jeff,roehl,RG,G,OL,24,61,FA,1009,1.0,1.0,1.0,0,1,1,0,0
906,2004-06-11,1426.0,Dedric,Ward,sign,1,FA,DAL,,1009.0,11.0,,The Dallas Cowboys signed WR/K Dedric Ward.,dedric ward,dedric,ward,WR,WR,WR,1097,dedric ward,dedric,ward,WR,WR,WR,29,63,FA,1009,1.0,1.0,1.0,1,1,1,0,0
918,2004-06-15,1095.0,Derrick,Ransom,sign,1,FA,JAX,,1009.0,17.0,,The Jacksonville Jaguars signed DT Derrick Ransom.,derrick ransom,derrick,ransom,DT,DT,DL,12060,derrick ransom,derrick,ransom,DT,DT,DL,27,64,FA,1009,1.0,1.0,1.0,1,1,1,0,0
935,2004-06-18,636.0,Bernard,Holsey,sign,1,FA,STL,,1009.0,24.0,,The St. Louis Rams signed DL Bernard Holsey.,bernard holsey,bernard,holsey,DL,,DL,716,bernard holsey,bernard,holsey,DT,DT,DL,30,63,FA,1009,1.0,1.0,1.0,0,1,1,0,0
950,2004-06-22,1327.0,Alex,Sulfsted,sign,1,FA,CIN,CIN,1009.0,2.0,2.0,The Cincinnati Bengals signed G Alex Sulfsted.,alex sulfsted,alex,sulfsted,G,G,OL,14225,alex sulfsted,alex,sulfsted,LG,G,OL,25,51,FA,1009,1.0,1.0,1.0,1,1,1,0,0
977,2004-07-01,1277.0,Marcus,Spears,sign,1,FA,HOU,KC,1009.0,32.0,9.0,The Houston Texans signed OT/G Marcus Spears.,marcus spears,marcus,spears,T,T,OL,661,marcus spears,marcus,spears,RT,T,OL,32,74,KC,9,1.0,1.0,1.0,1,1,0,0,1
979,2004-07-06,522.0,Hunter,Goodwin,retire,1,,FA,MIN,,1009.0,31.0,LB Hunter Goodwin retired from the NFL.,hunter goodwin,hunter,goodwin,LB,LB,LB,784,hunter goodwin,hunter,goodwin,TE,TE,TE,31,76,ATL,14,1.0,1.0,1.0,0,0,0,0,0
989,2004-07-08,1122.0,Mikhael,Ricks,sign,1,FA,NYJ,DET,1009.0,18.0,19.0,The New York Jets signed TE Mikhael Ricks.,mikhael ricks,mikhael,ricks,TE,TE,TE,603,mikhael ricks,mikhael,ricks,TE,TE,TE,29,78,FA,1009,1.0,1.0,1.0,1,1,1,0,0
992,2004-07-09,107.0,Erik,Bickerstaff,waive,1,DAL,FA,DAL,11.0,1009.0,11.0,The Dallas Cowboys waived RB Erik Bickerstaff.,erik bickerstaff,erik,bickerstaff,HB,HB,RB,17128,erik bickerstaff,erik,bickerstaff,HB,HB,RB,23,60,DAL,11,1.0,1.0,1.0,1,1,1,0,1
998,2004-07-13,1164.0,Darrell,Russell,release,1,TB,FA,TB,6.0,1009.0,6.0,The Tampa Bay Buccaneers released DT Darrell Russell.,darrell russell,darrell,russell,DT,DT,DL,1392,darrell russell,darrell,russell,DT,DT,DL,28,78,TB,6,1.0,1.0,1.0,1,1,1,0,1
1008,2004-07-16,1085.0,Stanley,Pritchett,sign,1,FA,ATL,CHI,1009.0,14.0,1.0,The Atlanta Falcons signed FB Stanley Pritchett.,stanley pritchett,stanley,pritchett,FB,FB,RB,835,stanley pritchett,stanley,pritchett,FB,FB,RB,30,73,FA,1009,1.0,1.0,1.0,1,1,1,0,0
1010,2004-07-16,1370.0,Jeremiah,Trotter,sign,1,FA,PHI,WAS,1009.0,13.0,26.0,The Philadelphia Eagles signed LB Jeremiah Trotter.,jeremiah trotter,jeremiah,trotter,LB,LB,LB,848,jeremiah trotter,jeremiah,trotter,MLB,LB,LB,27,87,FA,1009,1.0,1.0,1.0,1,1,1,0,0
1018,2004-07-20,1198.0,Bill,Schroeder,sign,1,FA,TB,DET,1009.0,6.0,19.0,The Tampa Bay Buccaneers signed WR Bill Schroeder.,bill schroeder,bill,schroeder,WR,WR,WR,1200,bill schroeder,bill,schroeder,WR,WR,WR,33,73,FA,1009,1.0,1.0,1.0,1,1,1,0,0
1030,2004-07-22,510.0,Jason,Gildon,sign,1,FA,BUF,PIT,1009.0,3.0,29.0,The Buffalo Bills signed LB Jason Gildon.,jason gildon,jason,gildon,LB,LB,LB,1668,jason gildon,jason,gildon,LOLB,LB,LB,31,89,FA,1009,1.0,1.0,1.0,1,1,1,0,0
1034,2004-07-22,1244.0,Antowain,Smith,sign,1,FA,TEN,,1009.0,30.0,,The Tennessee Titans signed RB Antowain Smith.,antowain smith,antowain,smith,HB,HB,RB,316,antowain smith,antowain,smith,HB,HB,RB,32,80,FA,1009,1.0,1.0,1.0,1,1,1,0,0
1043,2004-07-23,501.0,Eddie,George,sign,1,FA,DAL,TEN,1009.0,11.0,30.0,The Dallas Cowboys signed RB Eddie George.,eddie george,eddie,george,HB,HB,RB,1707,eddie george,eddie,george,HB,HB,RB,30,85,TEN,30,1.0,1.0,1.0,1,1,0,0,1
1050,2004-07-23,1128.0,Barret,Robbins,release,1,OAK,FA,,23.0,1009.0,,The Oakland Raiders released C Barret Robbins.,barret robbins,barret,robbins,C,C,OL,1359,barret robbins,barret,robbins,C,C,OL,30,87,OAK,23,1.0,1.0,1.0,1,1,1,0,0
1051,2004-07-23,1147.0,Tyrone,Rogers,sign,1,FA,GB,,1009.0,20.0,,The Green Bay Packers signed RE Tyrone Rogers.,tyrone rogers,tyrone,rogers,DE,DE,DL,455,tyrone rogers,tyrone,rogers,LE,DE,DL,27,64,FA,1009,1.0,1.0,1.0,1,1,1,0,0
1060,2004-07-26,402.0,Andy,Eby,waive,1,STL,FA,STL,24.0,1009.0,24.0,The St. Louis Rams waived C/G Andy Eby.,andy eby,andy,eby,C,C,OL,16694,andy eby,andy,eby,C,C,OL,25,58,STL,24,1.0,1.0,1.0,1,1,1,0,1
1083,2004-07-27,447.0,Zeron,Flemister,sign,1,FA,NE,,1009.0,22.0,,The New England Patriots signed TE Zeron Flemister.,zeron flemister,zeron,flemister,TE,TE,TE,14524,zeron flemister,zeron,flemister,TE,TE,TE,27,66,FA,1009,1.0,1.0,1.0,1,1,1,0,0
1109,2004-07-27,1530.0,Rod,Woodson,release,1,OAK,FA,,23.0,1009.0,,The Oakland Raiders released S Rod Woodson.,rod woodson,rod,woodson,S,S,DB,1473,rod woodson,rod,woodson,FS,S,DB,39,92,OAK,23,1.0,1.0,1.0,1,1,1,0,0
1129,2004-07-28,941.0,John,Mobley,release,1,DEN,FA,,4.0,1009.0,,The Denver Broncos released LB John Mobley.,john mobley,john,mobley,LB,LB,LB,382,john mobley,john,mobley,LOLB,LB,LB,30,86,DEN,4,1.0,1.0,1.0,1,1,1,0,0
1151,2004-07-29,193.0,Jeff,Burris,release,1,NE,FA,NE,22.0,1009.0,22.0,The New England Patriots released LCB Jeff Burris.,jeff burris,jeff,burris,CB,CB,DB,696,jeff burris,jeff,burris,CB,CB,DB,32,75,NE,22,1.0,1.0,1.0,1,1,1,0,1
1169,2004-07-29,835.0,Everett,Lindsay,sign,1,FA,ARI,,1009.0,7.0,,The Arizona Cardinals signed G Everett Lindsay.,everett lindsay,everett,lindsay,G,G,OL,451,everett lindsay,everett,lindsay,RT,T,OL,33,76,FA,1009,1.0,1.0,1.0,0,1,1,0,0
1177,2004-07-29,1081.0,Jamal,Powell,waive,1,HOU,FA,,32.0,1009.0,,The Houston Texans waived C Jamal Powell.,jamal powell,jamal,powell,C,C,OL,16720,jamal powell,jamal,powell,C,C,OL,23,56,HOU,32,1.0,1.0,1.0,1,1,1,0,0
1195,2004-07-30,115.0,Willie,Blade,sign,1,FA,JAX,NYG,1009.0,17.0,16.0,The Jacksonville Jaguars signed DT Willie Blade.,willie blade,willie,blade,DT,DT,DL,17127,willie blade,willie,blade,DT,DT,DL,25,83,DAL,11,1.0,1.0,1.0,1,1,0,0,0
1219,2004-07-30,634.0,Rashad,Holman,sign,1,FA,BAL,,1009.0,25.0,,The Baltimore Ravens signed CB Rashad Holman.,rashad holman,rashad,holman,CB,CB,DB,14329,rashad holman,rashad,holman,CB,CB,DB,26,70,FA,1009,1.0,1.0,1.0,1,1,1,0,0
1232,2004-07-30,906.0,Scott,McGarrahan,sign,1,FA,TEN,,1009.0,30.0,,The Tennessee Titans signed S Scott McGarrahan.,scott mcgarrahan,scott,mcgarrahan,S,S,DB,1245,scott mcgarrahan,scott,mcgarrahan,SS,S,DB,30,68,FA,1009,1.0,1.0,1.0,1,1,1,0,0
1261,2004-07-30,1444.0,Fred,Weary,sign,1,FA,BAL,,1009.0,25.0,,The Baltimore Ravens signed CB Fred Weary.,fred weary,fred,weary,CB,CB,DB,1571,fred weary,fred,weary,CB,CB,DB,30,66,FA,1009,1.0,1.0,1.0,1,1,1,0,0
1262,2004-07-30,1459.0,James,Whalen,sign,1,FA,CIN,DAL,1009.0,2.0,11.0,The Cincinnati Bengals signed TE James Whalen.,james whalen,james,whalen,TE,TE,TE,504,james whalen,james,whalen,TE,TE,TE,26,60,DAL,11,1.0,1.0,1.0,1,1,0,0,1
1269,2004-07-31,253.0,Ryan,Clark,sign,1,FA,WAS,NYG,1009.0,26.0,16.0,The Washington Redskins signed SAF Ryan Clark.,ryan clark,ryan,clark,S,S,DB,17085,ryan clark,ryan,clark,SS,S,DB,24,69,FA,1009,1.0,1.0,1.0,1,1,1,0,0
1271,2004-07-31,343.0,Dorsett,Davis,waive,1,DEN,FA,,4.0,1009.0,,The Denver Broncos waived DT Dorsett Davis.,dorsett davis,dorsett,davis,DT,DT,DL,15321,dorsett davis,dorsett,davis,DT,DT,DL,25,70,DEN,4,1.0,1.0,1.0,1,1,1,0,0
1272,2004-07-31,379.0,Dameane,Douglas,sign,1,FA,WAS,,1009.0,26.0,,The Washington Redskins signed WR Dameane Douglas.,dameane douglas,dameane,douglas,WR,WR,WR,864,dameane douglas,dameane,douglas,WR,WR,WR,28,62,FA,1009,1.0,1.0,1.0,1,1,1,0,0
1293,2004-08-02,142.0,Sean,Brewer,waive,1,WAS,FA,WAS,26.0,1009.0,26.0,The Washington Redskins waived TE Sean Brewer.,sean brewer,sean,brewer,TE,TE,TE,14185,sean brewer,sean,brewer,TE,TE,TE,26,63,ATL,14,1.0,1.0,1.0,1,1,0,0,0
1311,2004-08-02,1093.0,Greg,Randall,sign,1,FA,STL,SF,1009.0,24.0,15.0,The St. Louis Rams signed T Greg Randall.,greg randall,greg,randall,T,T,OL,12154,greg randall,greg,randall,RT,T,OL,26,78,SF,15,1.0,1.0,1.0,1,1,0,0,1
1312,2004-08-02,1144.0,Kendrick,Rogers,waive,1,ARI,FA,ARI,7.0,1009.0,7.0,The Arizona Cardinals waived T Kendrick Rogers.,kendrick rogers,kendrick,rogers,T,T,OL,17022,kendrick rogers,kendrick,rogers,RT,T,OL,26,57,ARI,7,1.0,1.0,1.0,1,1,1,0,1
1318,2004-08-02,1522.0,Joe,Wong,waive,1,OAK,FA,,23.0,1009.0,,The Oakland Raiders waived T/G Joe Wong.,joe wong,joe,wong,T,T,OL,104,joe wong,joe,wong,RT,T,OL,26,58,OAK,23,1.0,1.0,1.0,1,1,1,0,0
1328,2004-08-03,781.0,Tommy,Knight,sign,1,FA,STL,TB,1009.0,24.0,6.0,The St. Louis Rams signed S Tommy Knight.,tommy knight,tommy,knight,S,S,DB,540,tom knight,tom,knight,CB,CB,DB,29,73,TB,6,0.94,0.87,1.0,0,1,0,0,1
1332,2004-08-03,1424.0,Tim,Wansley,sign,1,FA,CLE,ARI,1009.0,5.0,7.0,The Cleveland Browns signed CB Tim Wansley.,tim wansley,tim,wansley,CB,CB,DB,15659,tim wansley,tim,wansley,CB,CB,DB,25,70,FA,1009,1.0,1.0,1.0,1,1,1,0,0
1352,2004-08-05,292.0,Billy,Conaty,sign,1,FA,MIN,,1009.0,31.0,,The Minnesota Vikings signed OL Billy Conaty.,billy conaty,billy,conaty,OL,,OL,350,bill conaty,bill,conaty,C,C,OL,31,67,FA,1009,0.97,0.93,1.0,0,1,1,0,0
1354,2004-08-05,368.0,Chris,Dishman,sign,1,FA,STL,,1009.0,24.0,,The St. Louis Rams signed G Chris Dishman.,chris dishman,chris,dishman,G,G,OL,556,chris dishman,chris,dishman,RG,G,OL,30,65,FA,1009,1.0,1.0,1.0,1,1,1,0,0
1365,2004-08-05,1287.0,Charles,Stackhouse,sign,1,FA,NYG,HOU,1009.0,16.0,32.0,The New York Giants signed FB Charles Stackhouse.,charles stackhouse,charles,stackhouse,FB,FB,RB,14918,charles stackhouse,charles,stackhouse,FB,FB,RB,24,75,FA,1009,1.0,1.0,1.0,1,1,1,0,0
1366,2004-08-05,1324.0,Dana,Stubblefield,sign,1,FA,NE,,1009.0,22.0,,The New England Patriots signed DT Dana Stubblefield.,dana stubblefield,dana,stubblefield,DT,DT,DL,1517,dana stubblefield,dana,stubblefield,DT,DT,DL,33,84,FA,1009,1.0,1.0,1.0,1,1,1,0,0
1368,2004-08-06,252.0,Kenny,Clark,waive,1,MIN,FA,,31.0,1009.0,,The Minnesota Vikings waived WR Kenny Clark.,kenny clark,kenny,clark,WR,WR,WR,17160,kenny clark,kenny,clark,WR,WR,WR,25,65,MIN,31,1.0,1.0,1.0,1,1,1,0,0
1379,2004-08-07,497.0,Sam,Gash,release,1,NO,FA,NO,27.0,1009.0,27.0,The New Orleans Saints released FB Sam Gash.,sam gash,sam,gash,FB,FB,RB,30,sam gash,sam,gash,FB,FB,RB,35,76,NO,27,1.0,1.0,1.0,1,1,1,0,1
1381,2004-08-07,757.0,Pete,Kendall,sign,1,FA,NYJ,ARI,1009.0,18.0,7.0,The New York Jets signed G Pete Kendall.,pete kendall,pete,kendall,G,G,OL,1612,pete kendall,pete,kendall,C,C,OL,30,90,ARI,7,1.0,1.0,1.0,0,1,0,0,1
1383,2004-08-07,1030.0,Riddick,Parker,sign,1,FA,SF,,1009.0,15.0,,The San Francisco 49ers signed DT Riddick Parker.,riddick parker,riddick,parker,DT,DT,DL,1644,riddick parker,riddick,parker,LE,DE,DL,31,66,FA,1009,1.0,1.0,1.0,0,1,1,0,0
1389,2004-08-09,739.0,Delvin,Joyce,waive,1,NYG,FA,NYG,16.0,1009.0,16.0,The New York Giants waived RB Delvin Joyce.,delvin joyce,delvin,joyce,HB,HB,RB,15756,delvin joyce,delvin,joyce,HB,HB,RB,25,69,NYG,16,1.0,1.0,1.0,1,1,1,0,1
1396,2004-08-09,1115.0,Joffrey,Reynolds,sign,1,FA,NYG,CLE,1009.0,16.0,5.0,The New York Giants signed RB Joffrey Reynolds.,joffrey reynolds,joffrey,reynolds,HB,HB,RB,17013,joffrey reynolds,joffrey,reynolds,HB,HB,RB,24,61,FA,1009,1.0,1.0,1.0,1,1,1,0,0
1397,2004-08-09,1152.0,Adrian,Ross,sign,1,FA,PIT,CIN,1009.0,29.0,2.0,The Pittsburgh Steelers signed OLB Adrian Ross.,adrian ross,adrian,ross,OLB,LB,LB,280,adrian ross,adrian,ross,LOLB,LB,LB,29,82,CIN,2,1.0,1.0,1.0,1,1,0,0,1
1399,2004-08-09,1297.0,Glen,Steele,sign,1,FA,CIN,NYG,1009.0,2.0,16.0,The Cincinnati Bengals signed DT Glen Steele.,glen steele,glen,steele,DT,DT,DL,303,glen steele,glen,steele,DT,DT,DL,29,67,FA,1009,1.0,1.0,1.0,1,1,1,0,0
1401,2004-08-10,168.0,Tim,Brown,sign,1,FA,TB,OAK,1009.0,6.0,23.0,The Tampa Bay Buccaneers signed WR Tim Brown.,tim brown,tim,brown,WR,WR,WR,1354,tim brown,tim,brown,WR,WR,WR,37,84,OAK,23,1.0,1.0,1.0,1,1,0,0,1
1404,2004-08-10,754.0,Lewis,Kelly,release,1,MIN,FA,MIN,31.0,1009.0,31.0,The Minnesota Vikings released T Lewis Kelly.,lewis kelly,lewis,kelly,T,T,OL,1797,lewis kelly,lewis,kelly,LG,G,OL,27,83,MIN,31,1.0,1.0,1.0,0,1,1,0,1
1406,2004-08-10,870.0,Seth,Marler,waive,1,JAX,FA,,17.0,1009.0,,The Jacksonville Jaguars waived PK Seth Marler.,seth marler,seth,marler,K,K,KP,17092,seth marler,seth,marler,K,K,KP,23,66,JAX,17,1.0,1.0,1.0,1,1,1,0,0
1407,2004-08-10,920.0,Adam,Meadows,retire,1,,FA,IND,,1009.0,10.0,T Adam Meadows retired from the NFL.,adam meadows,adam,meadows,T,T,OL,688,adam meadows,adam,meadows,RT,T,OL,30,88,CAR,21,1.0,1.0,1.0,1,1,0,0,0
1427,2004-08-12,165.0,Ray,Brown,sign,1,FA,WAS,,1009.0,26.0,,The Washington Redskins signed T Ray Brown.,ray brown,ray,brown,T,T,OL,943,ray brown,ray,brown,RG,G,OL,41,86,FA,1009,1.0,1.0,1.0,0,1,1,0,0
1428,2004-08-12,177.0,Matt,Bryant,sign,1,FA,DAL,NYG,1009.0,11.0,16.0,The Dallas Cowboys signed K Matt Bryant.,matt bryant,matt,bryant,K,K,KP,15694,matt bryant,matt,bryant,K,K,KP,29,74,NYG,16,1.0,1.0,1.0,1,1,0,0,1
1441,2004-08-16,350.0,Andrew,Davison,sign,1,FA,NYJ,DAL,1009.0,18.0,11.0,The New York Jets signed CB Andrew Davison.,andrew davison,andrew,davison,CB,CB,DB,15730,andrew davison,andrew,davison,CB,CB,DB,24,56,DAL,11,1.0,1.0,1.0,1,1,0,0,1
1443,2004-08-16,472.0,Antonio,Freeman,sign,1,FA,MIA,,1009.0,12.0,,The Miami Dolphins signed WR Antonio Freeman.,antonio freeman,antonio,freeman,WR,WR,WR,1199,antonio freeman,antonio,freeman,WR,WR,WR,32,76,FA,1009,1.0,1.0,1.0,1,1,1,0,0
1449,2004-08-16,987.0,Kendall,Newson,waive,1,MIA,FA,,12.0,1009.0,,The Miami Dolphins waived WR Kendall Newson.,kendall newson,kendall,newson,WR,WR,WR,15319,kendall newson,kendall,newson,WR,WR,WR,24,59,MIA,12,1.0,1.0,1.0,1,1,1,0,0
1450,2004-08-16,1022.0,Will,Overstreet,waive,1,ATL,FA,,14.0,1009.0,,The Atlanta Falcons waived LB Will Overstreet.,will overstreet,will,overstreet,LB,LB,LB,15362,will overstreet,will,overstreet,RE,DE,DL,24,77,ATL,14,1.0,1.0,1.0,0,0,1,0,0
1453,2004-08-16,1114.0,Jamal,Reynolds,waive,1,CLE,FA,CLE,5.0,1009.0,5.0,The Cleveland Browns waived DE Jamal Reynolds.,jamal reynolds,jamal,reynolds,DE,DE,DL,14253,jamal reynolds,jamal,reynolds,RE,DE,DL,25,66,GB,20,1.0,1.0,1.0,1,1,0,0,0
1456,2004-08-16,1283.0,Marcus,Spriggs,sign,1,FA,WAS,,1009.0,26.0,,The Washington Redskins signed T Marcus Spriggs.,marcus spriggs,marcus,spriggs,T,T,OL,348,marcus spriggs,marcus,spriggs,LG,G,OL,30,68,FA,1009,1.0,1.0,1.0,0,1,1,0,0
1472,2004-08-17,1539.0,Jimmy,Wyrick,sign,1,FA,MIA,,1009.0,12.0,,The Miami Dolphins signed CB Jimmy Wyrick.,jimmy wyrick,jimmy,wyrick,CB,CB,DB,14785,jimmy wyrick,jimmy,wyrick,CB,CB,DB,27,62,FA,1009,1.0,1.0,1.0,1,1,1,0,0
1476,2004-08-18,1011.0,Ifeanyi,Ohalete,sign,1,FA,ARI,WAS,1009.0,7.0,26.0,The Arizona Cardinals signed S Ifeanyi Ohalete.,ifeanyi ohalete,ifeanyi,ohalete,S,S,DB,15618,ifeanyi ohalete,ifeanyi,ohalete,SS,S,DB,25,80,WAS,26,1.0,1.0,1.0,1,1,0,0,1
1480,2004-08-18,1256.0,Kenny,Smith,waive,1,NO,FA,,27.0,1009.0,,The New Orleans Saints waived DT Kenny Smith.,kenny smith,kenny,smith,DT,DT,DL,14232,kenny smith,kenny,smith,DT,DT,DL,26,75,NO,27,1.0,1.0,1.0,1,1,1,0,0
